RAhms	DEdms	Vmag	Plx	B-V
23 14 16.36	-19 38 39.9	10.46	  51.44	 1.449
22 52 48.35	-28 47 40.3	11.82	  51.42	 1.533
08 18 31.27	-76 55 11.9	 4.05	  51.40	 0.413
17 22 51.26	-02 23 16.5	 6.28	  51.39	 0.680
23 23 04.63	-10 45 53.6	 7.80	  51.37	 0.881
01 33 15.63	-24 10 39.3	 6.97	  51.27	 0.766
15 00 43.42	-11 08 02.3	 9.49	  51.26	 1.372
14 02 19.57	+13 41 23.9	10.68	  51.21	 1.559
14 45 24.32	+13 50 48.7	 7.87	  51.20	 0.931
16 28 52.88	+18 24 47.2	 6.98	  51.20	 0.848
07 54 11.08	-25 18 13.2	 9.75	  51.16	 1.385
08 28 22.85	+35 01 02.1	10.76	  51.13	 1.568
00 13 37.81	+80 39 55.2	11.14	  51.12	 1.556
09 14 20.55	+61 25 24.2	 5.18	  51.12	 0.605
05 27 39.53	-60 24 56.8	 6.99	  51.10	 0.755
14 13 31.13	-06 57 33.5	10.15	  51.06	 1.418
14 29 22.57	+80 48 36.6	 6.88	  51.04	 0.774
06 16 26.57	+12 16 18.2	 5.04	  51.00	 0.431
07 27 28.78	+22 02 39.2	11.25	  50.93	 1.495
01 53 04.90	+29 34 45.8	 3.42	  50.87	 0.488
14 47 16.27	+02 42 12.3	 7.76	  50.84	 0.893
07 33 00.62	+37 01 47.4	 7.68	  50.80	 0.863
17 43 00.67	+05 47 22.1	10.68	  50.80	 1.507
12 06 52.85	-64 36 49.1	 4.14	  50.79	 0.353
23 45 49.25	+36 15 17.8	 9.89	  50.78	 1.338
01 56 31.97	-60 13 37.6	 8.61	  50.76	 1.143
00 23 31.03	+77 11 21.1	11.31	  50.71	 1.462
22 58 15.54	-02 23 43.2	 6.17	  50.71	 0.744
15 07 17.95	+24 52 10.5	 4.93	  50.70	 0.429
23 19 26.02	+79 00 12.0	 7.53	  50.65	 0.893
03 23 16.95	-49 59 33.3	 8.58	  50.64	 1.068
11 38 59.82	+42 19 39.9	 8.22	  50.61	 0.980
07 19 30.99	+32 49 51.4	10.06	  50.59	 1.420
22 14 31.55	+27 51 14.0	10.33	  50.56	 1.426
03 24 06.34	+23 47 07.2	10.38	  50.54	 1.510
13 34 43.38	-08 20 30.5	 9.24	  50.54	 1.210
21 57 26.01	+08 08 13.0	11.02	  50.43	 1.439
06 36 41.00	-19 15 20.6	 3.95	  50.41	 1.037
20 22 41.11	-58 17 04.6	10.60	  50.36	 1.455
02 09 35.82	-14 21 29.6	11.78	  50.34	 1.517
15 28 09.57	-09 20 49.9	 6.89	  50.34	 0.788
12 48 10.91	-24 48 25.2	 8.90	  50.31	 1.149
23 08 15.21	-24 44 34.5	10.20	  50.30	 1.120
00 41 30.72	-33 37 29.8	10.58	  50.29	 1.432
20 13 59.88	-00 52 03.1	 7.79	  50.27	 0.938
07 29 55.86	+49 40 21.6	 5.35	  50.25	 0.470
05 22 37.46	+02 36 12.7	 7.76	  50.24	 0.980
08 39 08.07	-22 39 46.5	 5.05	  50.20	 0.720
13 51 20.70	-24 23 23.2	 6.43	  50.20	 0.703
20 44 21.95	+19 45 04.1	10.29	  50.18	 1.457
20 42 56.78	-18 54 58.6	10.80	  50.17	 1.450
03 23 15.67	-49 59 41.2	10.24	  50.16	 1.386
21 20 10.46	-67 39 06.4	10.90	  50.15	 1.450
22 47 32.68	+83 41 48.3	 7.53	  50.15	 0.867
00 21 37.52	-46 05 30.3	12.21	  50.10	 1.537
04 35 55.20	+16 30 35.1	 0.87	  50.09	 1.538
07 54 54.01	+19 14 14.8	 7.76	  50.05	 0.950
19 12 25.55	-55 52 06.1	11.31	  50.04	 1.450
07 13 07.44	-63 20 46.9	 9.08	  50.02	 1.255
19 12 11.12	+57 40 15.6	 7.04	  50.00	 0.804
13 00 25.84	-34 36 25.0	10.60	  49.95	
23 04 29.76	+66 45 52.5	 9.86	  49.94	 1.392
08 55 07.60	+01 32 56.6	 9.99	  49.92	 1.372
00 16 14.19	+19 51 44.2	11.79	  49.91	 1.485
12 47 01.64	+46 37 36.0	11.71	  49.89	
10 22 24.20	-60 10 34.1	10.52	  49.88	 1.440
16 50 10.24	-34 17 33.4	 2.29	  49.85	 1.144
09 26 53.96	+75 56 04.2	 9.02	  49.84	 1.203
19 10 52.32	-47 09 25.5	 9.36	  49.84	 1.318
22 26 34.15	-16 44 31.7	 5.55	  49.80	 0.618
05 53 00.29	-05 59 38.4	 9.70	  49.74	 1.321
04 31 09.14	-13 30 50.8	11.47	  49.73	
12 09 55.30	-46 12 29.5	 8.46	  49.72	 1.137
12 45 14.63	-57 21 27.7	 7.82	  49.71	 0.937
04 40 33.82	-41 51 48.9	 4.44	  49.67	 0.342
15 22 46.98	+18 55 07.6	 7.16	  49.67	 0.804
11 45 34.34	-20 21 13.1	11.79	  49.63	 1.482
16 37 08.37	+00 15 15.0	 7.09	  49.63	 0.828
12 15 26.96	-31 05 38.2	 9.74	  49.62	 1.383
19 33 25.57	+21 50 27.0	 6.89	  49.61	 0.745
04 40 29.33	-09 11 45.0	10.27	  49.58	 1.490
10 46 36.99	-24 35 06.8	 9.37	  49.51	 1.165
02 07 10.29	+23 27 46.0	 2.01	  49.48	 1.151
23 00 36.47	-23 58 07.6	11.60	  49.36	 1.510
05 18 47.28	-21 23 37.2	 9.35	  49.34	 1.298
23 16 42.19	+53 12 50.6	 5.58	  49.31	 0.556
00 06 15.54	+58 26 12.1	 5.98	  49.30	 0.687
21 44 30.01	+41 35 50.5	 9.65	  49.27	 1.334
04 16 01.49	-51 29 13.5	 4.26	  49.26	 0.312
21 54 44.89	+32 19 44.9	 7.73	  49.21	 0.911
00 12 50.38	-57 54 45.7	 7.22	  49.18	 0.775
14 41 52.19	-75 08 22.0	 6.73	  49.15	 0.707
23 00 33.28	-23 57 07.3	11.56	  49.15	 1.526
14 34 58.31	+33 44 46.1	 9.54	  49.11	 1.283
19 45 33.52	+33 36 11.0	 7.68	  49.09	 1.000
17 05 16.83	+00 42 12.1	 6.00	  49.06	 0.578
00 22 51.55	-12 12 34.5	 6.39	  49.05	 0.659
20 14 28.18	-07 16 52.8	10.19	  49.03	 1.351
07 01 38.11	+48 22 47.0	 7.98	  48.96	 0.986
04 15 09.48	-04 25 05.1	 9.38	  48.95	 1.209
10 14 19.27	+21 04 30.9	10.01	  48.95	 1.247
11 46 42.49	-14 00 44.9	11.68	  48.95	 1.478
13 12 43.87	-02 15 54.2	 7.56	  48.95	 0.930
01 15 45.50	-68 52 34.5	 4.25	  48.94	 0.480
09 02 19.52	+08 28 08.3	11.74	  48.92	 1.427
04 45 38.99	-50 04 24.3	 7.58	  48.90	 0.875
09 10 23.53	+67 08 03.3	 4.80	  48.87	 0.489
21 01 38.93	-32 31 27.1	 9.37	  48.87	 1.239
21 24 40.42	-68 13 41.7	 6.98	  48.86	 0.723
09 12 17.87	+14 59 43.6	 6.49	  48.83	 0.731
13 12 03.47	-37 48 11.3	 4.85	  48.83	 0.693
20 11 06.33	+16 11 13.3	 7.34	  48.83	 0.830
03 18 58.36	-36 23 33.6	11.84	  48.81	 1.540
22 24 56.19	-57 47 47.8	 5.31	  48.81	 0.665
13 34 21.41	+04 40 03.7	 9.95	  48.78	 1.385
05 38 12.38	+51 26 43.7	 7.74	  48.72	 0.834
17 12 37.56	+18 21 05.3	 7.95	  48.69	 0.941
11 53 16.19	-07 22 23.2	11.89	  48.63	 1.540
05 46 01.53	+37 17 09.2	 7.34	  48.60	 0.833
23 16 57.47	-62 00 04.1	 5.64	  48.60	 0.521
04 07 34.22	+38 04 30.3	 7.13	  48.59	 0.865
08 58 37.77	+20 32 49.8	 9.22	  48.53	 1.116
19 45 35.65	+30 00 37.7	 9.15	  48.49	 1.175
11 15 20.69	-18 08 36.0	 9.97	  48.47	 1.340
10 18 51.90	+44 02 56.6	 6.66	  48.45	 0.653

