RAhms	DEdms	Vmag	Plx	B-V
03 07 57.95	-28 13 15.5	11.72	 114.73	
06 33 43.98	-75 37 50.4	10.35	 114.18	
22 09 39.68	-04 38 26.5	10.41	 113.97	 1.531
17 19 02.95	-46 38 11.4	 5.47	 113.81	 0.764
05 00 48.68	-05 45 03.5	 6.22	 113.46	 1.049
20 15 16.58	-27 01 57.1	 5.73	 113.33	 0.878
19 07 13.50	+20 52 40.2	10.76	 112.82	 1.570
12 24 51.83	-18 14 12.0	11.28	 112.52	 1.574
22 01 12.88	+28 18 24.5	11.99	 111.57	 1.718
05 44 27.97	-22 26 51.0	 3.59	 111.49	 0.481
09 36 01.55	-21 39 30.2	10.91	 111.41	 1.572
11 35 27.00	-32 32 16.4	 9.81	 110.65	 1.489
03 43 14.96	-09 45 54.7	 3.52	 110.58	 0.915
11 20 09.03	+65 50 45.7	 9.31	 109.95	 1.412
13 42 43.35	+33 17 30.6	12.03	 109.89	 2.400
16 54 31.73	-62 24 00.8	11.85	 109.57	 1.729
08 16 08.20	+01 18 08.7	10.08	 109.23	 1.510
13 11 52.92	+27 52 33.7	 4.23	 109.23	 0.572
11 52 55.82	+37 43 58.1	 6.42	 109.21	 0.754
03 19 21.54	+03 22 11.9	 4.84	 109.18	 0.681
21 26 26.49	-65 22 05.3	 4.21	 108.50	 0.494
11 46 32.25	-40 30 04.8	 4.89	 108.23	 0.664
05 03 20.22	-17 22 20.8	11.71	 107.86	 1.661
05 08 34.74	-18 10 07.1	10.28	 107.30	 1.520
06 10 19.63	+82 06 36.0	10.48	 106.43	 1.514
04 42 55.37	+18 57 39.2	 9.95	 106.16	 1.523
02 05 04.04	-17 36 51.2	10.19	 105.94	 1.514
02 05 48.91	-30 10 36.8	12.15	 105.64	 1.719
17 43 55.95	+43 22 48.3	10.49	 105.39	 1.528
09 39 46.78	-41 04 06.3	10.72	 105.34	 1.521
11 34 29.95	-32 50 00.0	 5.96	 104.84	 0.811
11 41 03.03	+34 12 09.2	 5.31	 104.81	 0.723
09 30 44.92	+00 19 26.4	11.71	 103.56	 1.588
12 37 53.20	-52 00 05.6	10.65	 103.54	 1.470
16 45 06.38	+33 30 29.9	 8.10	 102.35	 1.310
17 35 13.54	-48 40 55.1	10.13	 102.30	 1.543
16 36 21.18	-02 19 25.8	 5.77	 102.27	 0.827
14 54 29.07	+16 06 04.9	10.11	 101.91	 1.500
09 44 30.22	-45 46 30.3	10.22	 101.87	 1.530
06 37 11.27	+17 33 50.4	 9.63	 101.59	 1.480
14 42 22.01	+66 03 21.2	10.88	 101.34	 1.615
17 17 23.46	-07 52 36.6	11.09	 100.89	
20 45 09.34	-31 20 24.1	 8.81	 100.59	 1.470
01 47 44.06	+63 51 11.2	 5.63	 100.24	 0.804
17 30 22.71	+05 32 56.8	 9.33	 100.17	 1.461
15 35 47.64	-80 12 08.3	11.65	  99.90	
01 02 37.95	+62 20 41.4	 9.56	  99.44	 1.463
13 57 32.10	+61 29 32.4	 6.49	  98.97	 1.040
00 32 26.81	+67 14 10.4	10.27	  98.74	 1.520
19 12 13.55	+02 53 15.6	11.09	  98.56	 1.542
06 10 14.20	-74 45 09.1	 5.08	  98.54	 0.714
03 10 30.96	-68 36 02.5	11.39	  98.50	 0.025
23 53 49.54	-75 37 53.8	 9.99	  98.43	 1.466
14 01 03.67	-02 39 22.8	 9.71	  98.26	 1.461
10 22 19.87	-47 58 22.1	11.49	  98.17	 3.500
11 57 56.92	-27 42 19.9	 6.99	  98.16	 1.128
12 49 03.38	+66 06 37.6	10.94	  98.14	 1.626
04 37 40.64	+52 53 41.2	 8.62	  98.12	 1.423
14 53 51.90	+23 33 19.9	11.53	  97.83	
20 41 50.97	-32 26 03.6	10.27	  97.80	 1.550
11 42 10.51	+26 42 30.8	10.67	  97.73	 1.493
22 02 10.54	+01 24 03.3	 9.17	  96.98	 1.453
16 58 08.92	+25 44 43.4	 9.70	  96.90	 1.522
07 45 19.36	+28 01 34.7	 1.16	  96.74	 0.991
13 19 45.58	+47 46 41.1	 8.48	  96.41	 1.469
02 52 31.89	-12 46 09.3	 6.05	  96.33	 0.862
02 12 22.02	+03 34 48.4	10.04	  96.28	 1.431
11 31 47.07	-41 02 48.7	11.55	  95.46	 1.635
09 56 09.06	+62 47 23.6	 8.99	  95.40	 1.438
09 21 38.59	-60 16 56.6	 9.49	  95.37	 1.472
09 31 19.00	-13 29 19.8	10.06	  94.95	 1.545
03 09 02.88	+49 36 48.6	 4.05	  94.93	 0.595
06 54 03.64	+60 52 27.0	11.01	  94.02	 1.552
22 06 11.82	+10 05 28.8	10.20	  93.81	 0.668
16 16 43.50	+67 14 19.1	 8.61	  93.79	 1.409
11 09 31.86	-24 35 51.2	10.44	  93.56	 1.529
23 21 37.78	+17 17 37.5	11.70	  93.50	 1.524
17 39 17.02	+03 33 19.7	 6.53	  93.36	 0.959
16 16 46.04	+67 15 21.7	10.69	  93.14	 1.500
17 05 03.93	-05 03 49.5	 7.70	  92.98	 1.100
03 01 51.61	-16 35 33.5	10.40	  92.97	
06 10 54.77	+10 19 13.1	10.41	  92.77	 1.450
12 50 43.58	-00 46 01.8	 8.49	  92.75	 1.409
23 52 24.52	+75 32 40.2	 6.36	  92.68	 0.977
16 41 17.48	+31 36 06.8	 2.81	  92.63	 0.650
17 11 52.57	-01 51 03.5	11.45	  92.58	 1.600
02 17 02.42	+34 13 29.4	 4.84	  92.20	 0.607
07 38 40.67	-21 13 24.3	11.68	  92.15	 1.588
03 32 56.11	-44 42 08.2	11.47	  92.05	 1.560
11 50 41.29	+01 45 55.4	 3.59	  91.74	 0.518
13 37 28.54	+35 43 04.5	 9.06	  91.72	 1.391
02 10 24.00	-50 49 31.1	 6.12	  91.63	 0.812
16 48 25.48	+59 03 25.3	12.24	  91.13	 0.160
11 41 45.09	+42 45 07.9	11.86	  90.66	 1.503
