Name	magMax	magMin	P
M31 V0405   	20.70	21.900	  10.85814000
M31 V0406   	21.90	22.700	   6.18800000
M31 V0407   	20.90	22.000	  13.64300000
M31 V0408   	21.80	22.600	   6.36430000
M31 V0410   	20.00	21.500	  13.21000000
M31 V0411   	18.60	20.600	  26.79000000
M31 V0412   	20.80	21.800	  12.82054000
M31 V0413   	21.50	22.300	   5.28500000
M31 V0414   	20.90	22.400	  12.06760000
M31 V0416   	21.30	21.900	   5.58000000
M31 V0419   	20.90	21.700	   7.99200000
M31 V0421   	21.90	22.800	   6.03600000
M31 V0422   	21.20	22.600	  17.24700000
M31 V0423   	21.60	22.200	   4.96700000
M31 V0426   	21.00	22.100	  13.91200000
M31 V0427   	21.60	22.400	  13.02069000
M31 V0429   	21.00	22.400	  11.37800000
M31 V0430   	21.50	22.600	  13.02172000
M31 V0434   	22.00	22.800	   5.10300000
M31 V0435   	20.20	21.500	  17.91400000
M31 V0436   	20.90	22.600	  11.76575000
M31 V0438   	19.60	21.600	  24.13000000
M31 V0439   	21.50	22.300	   6.63663000
M31 V0441   	21.20	22.700	  15.83300000
M31 V0442   	20.80	22.300	  13.12500000
M31 V0444   	21.60	22.700	   3.74200000
M31 V0446   	19.90	21.700	  12.89200000
M31 V0447   	21.80	22.400	   6.46424000
M31 V0449   	21.90	22.800	   6.72600000
M31 V0450   	20.40	21.600	  10.74100000
M31 V0452   	21.60	22.600	   7.00800000
M31 V0453   	21.90	23.000	   9.05963000
M31 V0458   	21.70	22.500	   4.90400000
M31 V0459   	20.80	22.700	  19.49200000
M31 V0461   	21.40	22.400	   7.80055000
M31 V0464   	21.40	22.500	  14.38800000
M31 V0466   	21.50	22.600	  19.74210000
M31 V0467   	21.40	22.800	  21.89100000
M31 V0469   	21.50	22.500	  14.36400000
M31 V0472   	21.10	22.400	  11.25700000
M31 V0473   	21.90	22.600	   6.49795000
M31 V0475   	21.80	22.500	   3.61089000
M31 V0476   	21.90	22.600	   4.16820000
M31 V0477   	21.10	21.700	   6.02400000
M31 V0478   	21.20	22.400	   4.57179000
M31 V0479   	21.90	23.100	  20.47830000
M31 V0480   	21.50	22.800	   5.67900000
M31 V0481   	21.50	22.600	   6.31291000
M31 V0485   	21.80	22.700	  12.38790000
M31 V0486   	21.60	22.600	   6.23100000
M31 V0488   	21.30	21.900	   4.08200000
M31 V0492   	21.30	22.700	  12.81100000
M31 V0494   	19.50	21.600	  18.29300000
M31 V0495   	21.90	22.400	   5.35500000
M31 V0496   	20.50	22.400	  21.69800000
M31 V0497   	20.40	22.000	  17.41553000
M31 V0498   	21.20	22.700	  19.39500000
M31 V0500   	21.90	22.500	   3.85980000
M31 V0502   	21.50	22.500	   4.24520000
M31 V0503   	21.80	22.400	   3.45336000
