GVhel	mag	l_mag	Type
 23983	19.6	>	Ia
 17988	18.9	>	Ia
 20985	18.5	>	Ia
194865	24.8	>	Ia
137905	23.1	>	Ia
107925	22.4	>	Ia
233838	24.1	>	Ia
242832	23.5	>	Ia
278807	23.6	>	Ia
140902	23.5	>	Ia
206857	24.7	>	Ia
 83942	21.1	>	Ia
  6637	15.2	>	Ia
 16189	17.5	>	Ia
  5535	16.6	=	Ia
 13293	17.5	>	Ia
  2302	14.7	=	Ia
  5086	17.3	>	Ia
  8018	16.1	=	Ia
  3928	18.5	>	Ia
 82143	22.1	>	Ia
  8852	15.5	>	Ia
  5944	16.1	=	Ia
  1424	13.8	=	Ia
 16000	17.1	>	Ia
  7042	17.0	>	Ia
  5996	16.0	>	Ia
 53963	21.0	>	Ia
 30000	20.6	>	Ia
  6838	16.0	>	Ia
  7628	16.8	>	Ia
 11992	19.6	>	Ia
 26981	19.2	>	Ia
 29979	19.3	>	Ia
 77946	21.2	>	Ia
  7080	15.9	>	Ia
  4888	16.6	=	Ia
 10793	17.0	>	Ia
  3124	14.5	>	Ia
  2197	15.0	>	Ia
  7043	16.6	>	Ia
 10260	18.0	>	Ia
  6115	16.1	>	Ia
  9034	17.2	>	Ia
 11754	17.2	>	Ia
 11542	16.4	>	Ia
  5229	15.9	=	Ia
 18260	18.0	>	Ia
  4507	15.0	=	Ia
  9613	17.3	>	Ia
  3257	15.0	>	Ia
 10350	16.8	>	Ia
  5635	16.2	>	Ia
  9108	16.3	>	Ia
182873	22.7	>	Ia
149896	23.1	>	Ia
125913	23.3	>	Ia
203859	23.6	>	Ia
140902	22.7	>	Ia
140902	22.6	>	Ia
161888	22.5	>	Ia
146898	22.4	>	Ia
  9102	18.0	>	Ia
  6118	15.4	>	Ia
126000	22.4	>	Ia
  4828	16.6	>	Ia
  7152	16.5	>	Ia
209855	23.8	>	Ia
162787	24.5	>	Ia
  8590	18.7	>	Ia
 28855	19.1	>	Ia
 19546	18.7	>	Ia
 35196	19.5	>	Ia
 16160	17.8	>	Ia
 42211	20.0	>	Ia
 36698	20.4	>	Ia
  2238	18.4	>	Ia
  3280	14.7	>	Ia
  5774	15.5	>	Ia
  6870	16.5	>	Ia
  4500	14.2	>	Ia
  4567	15.4	>	Ia
  6303	16.3	>	Ia
  6197	17.5	>	Ia
  8517	17.3	>	Ia
  4502	14.5	>	Ia
 20985	21.1	>	Ia
  9067	16.7	>	Ia
 12200	16.1	>	Ia
  8819	15.9	>	Ia
 72250	21.1	>	Ia
  4647	14.5	>	Ia
  2135	13.7	=	Ia
 28480	17.5	>	Ia
  6184	16.0	>	Ia
  8750	18.2	>	Ia
  4388	14.9	>	Ia
  7115	17.8	>	Ia
  7265	15.7	>	Ia
 10408	16.4	>	Ia
  4647	14.8	>	Ia
  6716	15.9	>	Ia
122915	23.5	>	Ia
279000	24.3	>	Ia
  4612	14.5	>	Ia
  5155	16.3	>	Ia
  5902	16.4	>	Ia
  9313	17.2	>	Ia
  6204	16.1	>	Ia
  4361	15.4	>	Ia
  5654	15.5	>	Ia
  1052	14.4	>	Ia
  8945	18.2	>	Ia
  7627	16.6	>	Ia
  3793	16.3	>	Ia
 13599	17.8	>	Ia
  4980	14.5	>	Ia
  3809	17.8	>	Ia
 11103	16.5	>	Ia
  1164	12.7	>	Ia
  4758	14.6	>	Ia
  3901	15.0	>	Ia
  4841	17.2	>	Ia
 40500	19.4	>	Ia
  7908	17.0	>	Ia
  4059	14.9	>	Ia
  9324	17.9	>	Ia
251826	23.9	>	Ia
  1695	15.1	>	Ia
 38973	19.5	>	Ia
  7714	16.8	>	Ia
  5783	15.5	>	Ia
 65954	21.4	>	Ia
 59958	20.0	>	Ia
 59958	21.0	>	Ia
143301	23.4	>	Ia
165485	23.7	>	Ia
201161	23.9	>	Ia
162188	23.3	>	Ia
167884	22.7	>	Ia
 95934	23.7	>	Ia
198163	23.7	>	Ia
108825	22.0	>	Ia
153194	23.4	>	Ia
173880	23.5	>	Ia
104927	21.4	>	Ia
153194	22.8	>	Ia
  5750	15.3	>	Ia
 13262	17.4	>	Ia
  9215	16.1	>	Ia
 11313	17.2	>	Ia
 62357	20.4	>	Ia
 65355	22.7	>	Ia
 56961	23.0	>	Ia
161888	23.8	>	Ia
  5576	16.6	>	Ia
264000	23.1	>	Ia
 83942	22.7	>	Ia
 65954	21.0	>	Ia
 31844	19.3	>	Ia
 18767	18.1	>	Ia
 25912	18.8	>	Ia
 37840	20.4	>	Ia
 21045	18.4	>	Ia
 40172	19.9	>	Ia
 42151	20.0	>	Ia
 19007	18.2	>	Ia
 22095	19.1	>	Ia
 26420	19.1	>	Ia
 23384	18.7	>	Ia
 31116	19.9	>	Ia
 40725	19.9	>	Ia
 42870	20.5	>	Ia
 10114	17.3	>	Ia
  6679	16.7	>	Ia
